User ID	Worker ID	Age	Gender	Education	Country	Consensus strategy	No consensus strategy	Other comments
BmcmRzXjv5Fww89XQ	A2TH9DIRISH8FE	26	Male	Attended college	USA			
YNsPYQmEeyzkWctFM	A1YSYI926BBOHW	33	Male	Bachelor's degree	USA			
YNsPYQmEeyzkWctFM	A1YSYI926BBOHW	33	Male	Bachelor's degree	USA			
RuuaaCu4cXjEgTWY7	A2DWQF4ZHHBLOW	41	Male	Master's degree	USA	I just tried to match everyone, although that didn't work.	I tried to unmatch everyone, but that didn't work, either.	
MNn3RTEhS5cqPYrEw	A359ETX78LN74M	31	Female	Associate degree	USA	trying to go with the majority color	switching my color up to the minority	
rxWeyAgkAtKcBtcDw	A2F9V69F6TZIAB	30	Female	Attended college	USA	I tried to go with the majority	I tried to go against the majority	
iYgJ378XqySerGMnh	A2LZ9KG42SZ3I0	27	Male	High school degree or lower	USA	Following my neighbors lead and sending messages	Disrupting the consensus and switching often	
Wihh2ssfg3woTna87	A4JU6ZFL8C1VG	36	Female	Master's degree	USA	Tried to match players that were known consensus team members.	Tried to watch those who had orange circles, switch when it appeared a consensus was close.	This was interesting and fun. Thank you!
CcRp9PERB6TQrwpgd	A34F2ESTZYTWRM	34	Male	Bachelor's degree	USA	IT didn't seem to matter if we all matched or not.  2 people, consensus, both green or red, =not met.	be different than the others	
CcRp9PERB6TQrwpgd	A34F2ESTZYTWRM	34	Male	Bachelor's degree	USA	IT didn't seem to matter if we all matched or not.  2 people, consensus, both green or red, =not met.	be different than the others	
MAvSeXhkfJXH3fwDH	A3I1NQFOE32CUI	28	Female	Bachelor's degree	USA	Tried to make sure I was the same color as others.	I tried to still ensure I was the same color as others, this allowed for max payout for everyone, but no one wanted to play along with this...	fun game
z6F727uhTgGsHCZh4	A38IMMFKB2JJQK	47	Female	Attended college	USA	watched other peoples colors and messages	watched other peoples colors	
CcRp9PERB6TQrwpgd	A34F2ESTZYTWRM	34	Male	Bachelor's degree	USA	IT didn't seem to matter if we all matched or not.  2 people, consensus, both green or red, =not met.	be different than the others	no
Z6QAx4prMorBpAF4L	A3GEHH49HNJM57	43	Female	Associate degree	USA	I just tried to change my color to what my neighbor was.	I tried to make it the opposite choice. There really wasn't any pattern to this game.	
PTgJSxzfQbqu2iB9n	A1159C6RKPZURE	32	Male	Attended college	USA	When chat was available, I tried to rely on the messages people sent out	No really strategies, tried to wait till last minute to switch	
CcRp9PERB6TQrwpgd	A34F2ESTZYTWRM	34	Male	Bachelor's degree	USA	IT didn't seem to matter if we all matched or not.  2 people, consensus, both green or red, =not met.	be different than the others	no
CcRp9PERB6TQrwpgd	A34F2ESTZYTWRM	34	Male	Bachelor's degree	USA	IT didn't seem to matter if we all matched or not.  2 people, consensus, both green or red, =not met.	be different than the others	no
CcRp9PERB6TQrwpgd	A34F2ESTZYTWRM	34	Male	Bachelor's degree	USA	IT didn't seem to matter if we all matched or not.  2 people, consensus, both green or red, =not met.	be different than the others	no
CcRp9PERB6TQrwpgd	A34F2ESTZYTWRM	34	Male	Bachelor's degree	USA	IT didn't seem to matter if we all matched or not.  2 people, consensus, both green or red, =not met.	be different than the others	no
CcRp9PERB6TQrwpgd	A34F2ESTZYTWRM	34	Male	Bachelor's degree	USA	IT didn't seem to matter if we all matched or not.  2 people, consensus, both green or red, =not met.	be different than the others	no
CcRp9PERB6TQrwpgd	A34F2ESTZYTWRM	34	Male	Bachelor's degree	USA	IT didn't seem to matter if we all matched or not.  2 people, consensus, both green or red, =not met.	be different than the others	no
qXcT2ig5agB3b55Sn	A12U7YNO0GKNKZ	33	Male	Bachelor's degree	USA	I just tried my best to follow the trend of what was chosen amongst others.	I waited until the close to close and would change my answers.	
Jn58SMY5WduE9R42W	A2NZ7RMSBXESNI	62	Female	Associate degree	USA	I told players to switch colors or to pick my color	I changed my color at the last minute - I don't recall sending any messages	Thank you
MKToMWL9EEJHDgMEh	A2QRWT2GJKQ806	22	Female	Attended college	USA	trying to go with majority and make quick switches if network is small in case the 1 or 2 nodes i see are non-concensus trying to trick me.  messages were just the majority color i saw and how many.	switch to alternate color than majority but not too often so as to throw suspicion.  send misleading messages and then taunt at the end if successful.	none at this time.
pnYPqNFgqQamopDNx	A3MYPYBVHX7FQ2	46	Male	Attended college	USA	I tried to watch what the other players were doing, to figure out which node was a non-consensus node. The best I could do was to try to get the other consensus nodes to move quickly enough to form consensus before the non-consensus node could react.	I watched all other nodes carefully and switched colors as quickly as it looked like a consensus might be reached.	
9y7yuYtXwc3xp2v78	A24GPHD08ZS5LT	29	Female	Bachelor's degree	USA	I would either pick my color before everyone else and let them follow, or follow everyone else. 	I choose first, but kept my mouse on the opposite color if someone chose to pick the same color. 	This experiment was a little confusing, but I did my best. Very interesting too.
rzAsGaqxFwgdCzWar	A1LRDHZZUVF9AZ	33	Male	Master's degree	PRT	Tried to choose the color that my neighbors had and communicate with them when the chat was available.	Always kept changing my color so it didn't match my neighbors. 	Great HIT and THANK YOU for allowing non-us on your HIT's. We do speak English fluently and it's a shame we can't work on most of the hit's because requester?s think we're less capable.
xfq9ADffE8MTHvmTd	AEI5USUUPBU2G	31	Female	Bachelor's degree	USA	I tried to match the majority of my neighbors. I sent out messages to indicate my color choice to my neighbors.	During at least one time on no-consensus I made no attempt to interrupt the consensus team because payouts would be higher for everyone if we reached consensus every time. However, despite playing like a consensus member, the group still did not reach a consensus, so after that I decided to just play for myself. When I was no-consensus I attempted to disturb the other players.	fun and interesting game! thanks for the opportunity to play!
YPEYLn5g28h9Fyj5Q	A17R9PYLUB516A	26	Female	Associate degree	USA	I tried to choose what the majority had and say to all switch that way.	I tried to pick and say opposite of what the majority was.	N/A
7anj9XGFdkeGPmbHM	A8RDXT4ZILHQT	20	Female	Attended college	USA	I tried to tell everyone to tell their friends to go to the right color, and I remained steadfast in this. I basically always decided on something and stuck to it.	I could literally do nothing an win but one idea that always worked. Essentially, I'd immediately set a color and, then, come back 30 seconds later to set another color. Most people set their colors immediately and don't come back. So, they take the first color. But, half the people come back and look at the new colors. So they set to the other color.	
ddo6ubteJEZKRktFD	A1ZRH6U4OYYM1S	29	Male	Master's degree	IND	If message was allowed, first i look for the orange neighbor, if not , i will consider the color of neighbors and change accordingly.	I will message the opposit color of all neighbors (if messaging possible) otherwise i change color to look if some one is changing according to me. If yes, i try to stay in the opposite color of my neighbours	Nothing
6LEnbkwZAA2ccj7iK	A27BRY2BI6NNPW	35	Female	Associate degree	USA	It was hard.  All my team mates colors were the same but their teammates weren't so it was hard to get consensus.  I tried to follow the people that were shaded in orange. But if most of my teammates were a different color I would switch.	I tried to get them to change colors.  At first it was not hard.  Then after people got use to the game you could tell who were the deceptive people were.	That was a fun game even though it was very hard to get everyone's consensus.
LD5YuSAuEfZ78a3QJ	A33LYSCQQU1YDJ	42	Female	Bachelor's degree	USA	only sent out messages if people seemed to not be agreeing. otherwise looked at what others especially those with orange circles were doing	this didn't require too much strategy since consensus seemed rare but if a neighbor couldn't see someone I knew was consensus I would use the opposite color too is lead the	
LD5YuSAuEfZ78a3QJ	A33LYSCQQU1YDJ	42	Female	Bachelor's degree	USA	only sent out messages if people seemed to not be agreeing. otherwise looked at what others especially those with orange circles were doing	this didn't require too much strategy since consensus seemed rare but if a neighbor couldn't see someone I knew was consensus I would use the opposite color too is lead the	
